Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ゴールドアクター,サウンズオブアース,キタサンブラック,マリアライト,ラブリーデイ,トーセンレーヴ,アドマイヤデウス,ゴールドシップ,ワンアンドオンリー,ルージュバック,アルバート,ラストインパクト,ヒットザターゲット,ダービーフィズ,オーシャンブルー,リアファル
騎手名,吉田隼人,Ｍ．デム,横山典弘,蛯名正義,川田将雅,ボウマン,岩田康誠,内田博幸,浜中俊,戸崎圭太,アッゼニ,菱田裕二,小牧太,大野拓弥,石川裕紀,ルメール
枠順,7,9,11,16,4,10,5,15,8,13,6,3,2,14,1,12
走破タイム,2:33.0,2:33.0,2:33.1,2:33.1,2:33.2,2:33.3,2:33.3,2:33.3,2:33.5,2:33.5,2:33.6,2:33.6,2:33.7,2:33.9,2:35.4,2:35.5
オッズ,17.0,9.9,8.4,41.5,4.5,86.7,34.4,4.1,30.4,10.7,16.1,20.6,55.4,138.8,122.8,5.6
通過順位,3-3-5-3,3-3-5-6,1-1-1-1,3-3-2-2,6-6-8-6,14-14-15-13,6-6-7-10,16-16-2-3,11-11-12-13,10-10-8-5,15-15-12-10,8-9-10-9,8-8-10-13,12-12-12-10,12-12-16-16,2-2-2-6
馬体重,494(+4),502(0),526(-4),434(+4),488(+2),480(+2),484(+4),508(-2),498(0),458(+6),466(0),496(+2),516(+2),462(-6),446(+2),506(0)
性齢,牡4,牡4,牡3,牝4,牡5,牡7,牡4,牡6,牡4,牝3,牡4,牡5,牡7,牡5,牡7,牡3
斤量,57,57,55,55,57,57,57,57,57,53,57,57,57,57,57,55
上がり3ハロン,34.8,34.7,35.1,35.0,34.7,34.4,34.9,35.2,34.8,35.0,34.9,35.0,35.1,35.2,36.4,37.4
人気,8,5,4,12,2,14,11,1,10,6,7,9,13,16,15,3
芝適性,2.0,2.0,3.0,4.0,2.0,10.0,21.0,5.0,1.0,12.0,15.0,12.0,11.0,1.0,9.0,56.0
距離適性,99.0,81.0,106.0,81.0,58.0,63.0,72.0,100.0,72.0,60.0,116.0,76.0,65.0,63.0,66.0,87.0
脚質,21.0,105.0,3.0,97.0,29.0,88.0,94.0,107.0,105.0,102.0,109.0,47.0,96.0,102.0,95.0,1.0
成長,99.0,86.0,97.0,93.0,89.0,61.0,61.0,74.0,53.0,53.0,107.0,74.0,83.0,68.0,76.0,69.0
馬場適性,35.0,60.0,20.0,26.0,67.0,59.0,46.0,14.0,47.0,59.0,44.0,51.0,61.0,58.0,49.0,15.0
総合評価,4.22,3.7,4.58,4.29,4.14,2.98,3.15,4.16,3.84,4.07,3.58,3.96,3.34,3.65,3.87,4.16
実績評価,4.22,3.7,4.58,4.29,4.14,2.98,3.15,4.16,3.84,4.07,3.58,3.96,3.34,3.65,3.87,4.16
ポテンシャル評価,4.09,3.32,4.67,4.08,4.21,2.6,3.06,4.15,3.94,3.76,3.58,3.63,2.98,2.81,3.47,3.76
前走成績,11.0,16.0,1.0,10.0,4.0,17.0,4.0,8.0,16.0,5.0,13.0,14.0,13.0,11.0,15.0,4.0
前々走成績,16.0,14.0,3.0,6.0,9.0,8.0,3.0,10.0,17.0,9.0,17.0,6.0,6.0,10.0,11.0,4.0
前々前走成績,11.0,9.0,1.0,5.0,3.0,14.0,11.0,15.0,7.0,1.0,2.0,16.0,12.0,7.0,8.0,6.0
前走オッズ,18.1,144.2,1.9,19.3,21.6,211.8,100.0,4.1,280.8,55.4,7.4,270.9,34.6,56.6,122.8,4.4
前々走オッズ,80.6,246.5,2.1,3.1,11.1,109.5,24.5,4.7,135.5,6.2,171.2,95.8,72.8,30.5,86.2,19.5
前々前走オッズ,4.3,53.3,3.1,2.9,4.4,502.8,51.5,1.9,105.8,7.8,3.7,35.2,95.8,123.2,78.2,12.3
