Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
馬名,ドリームジャーニー,ブエナビスタ,エアシェイディ,フォゲッタブル,マイネルキッツ,セイウンワンダー,マツリダゴッホ,イコピコ,シャドウゲイト,コスモバルク,ミヤビランベリ,ネヴァブション,リーチザクラウン,テイエムプリキュア,アンライバルド,スリーロールス
騎手名,池添謙一,横山典弘,後藤浩輝,ルメール,三浦皇成,藤田伸二,蛯名正義,内田博幸,田中勝春,五十嵐冬,吉田隼人,北村宏司,武豊,熊沢重文,Ｍデムー,浜中俊
枠順,9,2,6,16,4,14,7,11,13,5,3,15,8,12,1,10
走破タイム,2:30.0,2:30.1,2:30.8,2:30.8,2:31.2,2:31.6,2:31.9,2:32.6,2:32.7,2:32.8,2:32.8,2:33.9,2:34.6,2:35.7,2:36.8,
オッズ,4.0,3.4,32.0,9.6,33.2,21.0,9.4,17.2,123.4,89.9,14.7,60.0,12.6,65.0,14.9,13.5
通過順位,15-15-14-8,6-6-4-3,16-16-15-12,13-13-10-5,10-10-6-5,13-13-10-5,10-10-4-1,6-8-6-8,4-4-2-2,10-10-10-12,2-2-2-3,6-8-9-14,1-1-1-8,3-2-10-15,5-5-6-11,6-6
馬体重,426(+4),446(-8),494(0),484(-2),504(+6),518(+4),502(+12),456(-10),504(+4),512(+2),492(-4),488(-2),508(+2),504(-2),474(+4),498(0)
性齢,牡5,牝3,牡8,牡3,牡6,牡3,牡6,牡3,牡7,牡8,牡6,牡6,牡3,牝6,牡3,牡3
斤量,57,53,57,55,57,55,57,55,57,57,57,57,55,55,55,55
上がり3ハロン,35.2,35.8,35.7,36.1,36.7,36.9,37.6,38.2,38.6,38.1,38.7,39.3,40.6,41.0,42.4,
人気,2,1,11,4,12,10,3,9,16,15,7,13,5,14,8,6
芝適性,6,5,5,8,7,12,8,6,9,20,9,11,11,15,9,7
距離適性,63,64,58,99,98,54,75,70,65,60,83,90,61,57,61,95
脚質,110,108,84,87,83,79,36,95,7,6,8,83,16,32,86,38
成長,70,48,76,81,93,49,78,66,77,46,88,85,53,43,44,83
馬場適性,61,54,62,51,57,45,45,71,28,46,28,49,42,24,64,67
総合評価,4.28,4.31,3.58,3.55,3.88,3.1,3.92,3.5,3.36,3.59,3.75,3.38,3.3,3.39,3.7,3.5
実績評価,4.28,4.31,3.58,3.55,3.88,3.1,3.92,3.5,3.36,3.59,3.75,3.38,3.3,3.39,3.7,3.5
ポテンシャル評価,4.26,4.38,3.42,3.55,3.97,3.1,4.0,3.33,3.64,3.45,3.81,3.5,3.2,3.28,3.58,3.6
前走レース名,"<a href=""/race/200905040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200908050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200905050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200906050111/"" title=""ステイヤーズS(G2)"">ステイヤーズS(G2)</a>","<a href=""/race/200905050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200908040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200905040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200909050111/"" title=""鳴尾記念(G3)"">鳴尾記念(G3)</a>","<a href=""/race/200903030911/"" title=""福島記念(G3)"">福島記念(G3)</a>","<a href=""/race/200905050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200905050211/"" title=""アルゼンチン共和国杯(G2)"">アルゼンチン共和国杯(G2)</a>","<a href=""/race/200905050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200905050810/"" title=""ジャパンC(G1)"">ジャパンC(G1)</a>","<a href=""/race/200908050411/"" title=""エリザベス女王杯(G1)"">エリザベス女王杯(G1)</a>","<a href=""/race/200908040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200908040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>"
前走オッズ,10.7,1.6,44.8,2.0,32.1,15.8,33.2,2.5,15.4,123.9,25.1,145.3,8.6,91.6,5.4,19.2
前走成績,6,3,5,1,8,3,17,4,10,12,1,10,9,2,15,1
2走前レース名,"<a href=""/race/200906040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200908040411/"" title=""秋華賞(G1)"">秋華賞(G1)</a>","<a href=""/race/200905040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200908040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200908040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200906040611/"" title=""産経賞オールカマー(G2)"">産経賞オールカマー(G2)</a>","<a href=""/race/200908040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200901020809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200905040811/"" title=""天皇賞(秋)(G1)"">天皇賞(秋)(G1)</a>","<a href=""/race/200901020809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200908030410/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200908040611/"" title=""菊花賞(G1)"">菊花賞(G1)</a>","<a href=""/race/200908040211/"" title=""京都大賞典(G2)"">京都大賞典(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200909040509/"" title=""野分特別(1000万下)"">野分特別(1000万下)</a>"
2走前オッズ,2.6,1.8,67.4,18.7,9.5,17.1,4.6,4.4,31.4,131.5,10.4,46.1,3.8,43.1,2.5,3.7
2走前成績,2,3(降),8,2,7,3,1,4,11,14,14,13,5,14,4,1
3走前レース名,"<a href=""/race/200909030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200901020809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200904030611/"" title=""新潟記念(G3)"">新潟記念(G3)</a>","<a href=""/race/200906040411/"" title=""セントライト記念(G2)"">セントライト記念(G2)</a>","<a href=""/race/200909030410/"" title=""宝塚記念(G1)"">宝塚記念(G1)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200901020809/"" title=""札幌記念(G2)"">札幌記念(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200903020811/"" title=""七夕賞(G3)"">七夕賞(G3)</a>","<a href=""/race/200935092710/"" title=""岩手県知事杯OROカ(G)"">岩手県知事杯OROカ(G)</a>","<a href=""/race/200903020811/"" title=""七夕賞(G3)"">七夕賞(G3)</a>","<a href=""/race/200906030111/"" title=""日経賞(G2)"">日経賞(G2)</a>","<a href=""/race/200909040610/"" title=""神戸新聞杯(G2)"">神戸新聞杯(G2)</a>","<a href=""/race/200908030410/"" title=""天皇賞(春)(G1)"">天皇賞(春)(G1)</a>","<a href=""/race/200905030410/"" title=""東京優駿(G1)"">東京優駿(G1)</a>","<a href=""/race/200904030710/"" title=""弥彦特別(1000万下)"">弥彦特別(1000万下)</a>"
3走前オッズ,7.1,1.5,7.5,23.6,17.5,9.0,6.9,24.0,5.7,1.7,4.6,2.1,3.9,60.3,2.1,3.6
3走前成績,1,2,4,3,7,13,9,1,7,1,1,7,2,18,12,5
